placeKey	newContext
Tamar	Tamar in the Wilderness: A town rebuilt by Solomon in the wilderness; possibly in the territory of Judah. 
Tappuah.2	Tappuah of Judah: A town in the foothills of the territory of Judah.
Tarshish	A seaport town or maritime region probably located at the Iberian Peninsula; described as inhabited by descendants of Javan, son of Japheth; famous for its commerce.
Tarsus	The capital city of Cilicia in southeast Asia Minor; birthplace of the apostle Paul.
Tekoa	A town in the territory of Judah; hometown of the prophet Amos.
Telaim	
Teman	The territory of the most prominent tribe of Edom (ABD); sometimes used to refer to the entire territory of Edom.
Temple	
TerritoryOfAsher	The land assigned to the tribe of Asher.
TerritoryOfBenjamin	The land assigned to the tribe of Benjamin.
TerritoryOfDan	The land assigned to the tribe of Dan.
TerritoryOfEastManasseh	The land assigned to the tribe of Manasseh, east of the Jordan River.
TerritoryOfEphraim	The land assigned to the tribe of Ephraim.
TerritoryOfGad	The land assigned to the tribe of Gad.
TerritoryOfIssachar	The land assigned to the tribe of Issachar.
TerritoryOfJudah	The land assigned to the tribe of Judah.
TerritoryOfNaphtali	The land assigned to the tribe of Naphtali.
TerritoryOfReuben	The land assigned to the tribe of Reuben.
TerritoryOfSimeon	The land assigned to the tribe of Judah.
TerritoryOfWestManasseh	The land assigned to the tribe of Manasseh, west of the Jordan River.
TerritoryOfZebulun	The land assigned to the tribe of Zebulun.
Thessalonica	A seaport city in Macedonia between Berea and Apollonia; 1 and 2 Thessalonians were addressed to the church there.
ThreeTaverns	A location on the Appian Way where Paul was welcomed by Christians from Rome.
Thyatira	A city in Lydia in Asia Minor; home of Lydia, a convert of Paul, and one of the seven cities addressed in Revelation.
Tiberias	A city on the west shore of the Sea of Galilee, south of Magdala.
Tigris	A large body of flowing water in Mesopotamia; one of the four rivers that flowed out of the river from the Garden of Eden.
Timnah.1	Timnah of Dan: A town in the territory of Dan, on the northern border of the territory of Judah; occupied by the Philistines and home to wife of Samson.
Tirzah	A city in the territory of Manasseh; capital of the northern kingdom of Israel during the reign of King Jeroboam until the reign of King Omri, who moved the capital to Samaria.
Tob	A town or territory east of the northern Jordan River.
Trachonitis	A district south of Damascus.
Troas	A city and region in the northwest corner of Asia Minor; Paul had a vision while visiting there (Acts 16:8–9).
Tubal	A nation possibly to be identified with Tabal, located in vicinity of the Black Sea; considered descendants of Japheth through his son Tubal.
Tyre	A seaport town on the Phoenician coast, south of Sidon.
Ur	Ur Town: A town on the Euphrates River in southern Mesopotamia, where Abraham and his family used to live before moving to Haran.
WildernessOfParan	A desert located south of Israel, west of Edom, and north of the wilderness of Sinai.
Zaphon	Zaphon of Gad: A town in the territory of Gad.
Zarephath	A town located between Tyre and Sidon; Phoenician seaport. God sent Elijah to meet a widow there (1 Kings 17:9).
Ziklag	A town in the territory of Simeon which belonged to Philistia and was given to David before he moved to Hebron, where he was made king of Judah; precise location is unknown.
Zin	A wilderness area in the Negev on the southern border of Canaan, near Kadesh-Barnea.
Ziph	Ziph of Judah: A town in the southern territory of Judah, near the border of Edom.
Zobah	An Aramean kingdom located north of Damascus and ruled by Hadadezer; it was defeated and subjugated by David and then controlled by Solomon.
