Id	Strong	Transliteration	Gloss	Definition	Category	Domain	References	spell-N	spell-n	spell-E	spell-G	spell-R	spell-T	spell-K	pc-N	pc-n	pc-E	pc-G	pc-R	pc-T	pc-K
אֲבַגְתָא	H0005	ʾăbagtāʾ	Abagtha	eunuch; servant of king Ahasuerus (Xerxes)	PN	person	017001010	Abagtha	Abagtha	Abagtha	Abagtha	Abagtha	Abagtha	Abagtha	100	100	100	100	100	100	100
אֵבֶה	H0016	ʾēbeh	papyrus, reeds	tall straight plant, growing in rivers and marshes (Arundo donax or Cyperus papyrus); used for making light boats	FL	grasses	018009026	papyrus	papyrus	reed	passes	reed	reed		100	100	100	100	100	100	0
אֵבוּס	H0018	ʾēbûs	manger, crib, feed trough	long open container; made of wood or stone; for feeding domestic animals	RE	containers; animal husbandry	018039009 020014004 023001003	manger	manger	manger	master	crib	feeding trough	crib	100	100	67	33	67	67	100
אֲבַטִּיחַ	H0020	ʾăbaṭṭiyaḥ	melon	sweet, juicy fruit, produced by a trailing plant (Citrullus vulgaris) cultivated in Egypt along the river Nile; much appreciated, used for food, drink, and medicine, including the seeds	FL	fruits	004011005	melons	melons	melons	watermelons	melons	melons	melons	100	100	100	100	100	100	100
אֲבִי	H0021	ʾăbiy	Abi	daughter of Zechariah; wife of Ahaz; mother of Hezekiah; also known as Abijah	PN	person	012018002	Abijah	Abijah	Abi	Abijah	Abi	Abi	Abi	100	100	100	100	100	100	100
אֲבִי הָעֶזְרִי	H0033	ʾăbiy hāʿezriy	Abiezrite	member of clan of Abiezer	PN	group	007006011 007006024 007008032	Abiezrites	Abiezrites	Abiezrites	Abiezer	Abiezrites	Abiezrites	Abi-ezrites	67	67	67	100	67	67	67
אֲבִי־עַלְבוֹן	H0045	ʾăbiy-ʿalbôn	Abi-Albon	warrior in time of king David; also known as Abiel	PN	person	010023031	Abi-Albon	Abi-Albon	Abi-albon	Abialbon	Abi-albon	Abi-Albon	Abi-albon	100	100	100	100	100	100	100
אֲבִיאֵל-1	H0022	ʾăbîʾēl-1	Abiel	father of Kish and Ner, grandfather of king Saul and Abner; from the tribe of Benjamin	PN	person	009009001 009014051	Abiel	Abiel	Abiel	Abiel	Abiel	Abiel	Abiel	100	100	100	100	100	100	100
אֲבִיאֵל-2	H0022	ʾăbîʾēl-2	Abiel	warrior in the time of king David	PN	person	013011032	Abiel	Abiel	Abiel	Abiel	Abiel	Abiel	Abiel	100	100	100	100	100	100	100
אֲבִיאָסָף	H0023	ʾăbîʾāsāp	Abiasaph	son of Korah, from the tribe of Levi	PN	person	002006024	Abiasaph	Abiasaph	Abiasaph	Abiasaph	Abiasaph	Abiasaph	Abiasaph	100	100	100	100	100	100	100
אֲבִיגַיִל-1	H0026	ʾăbîgayil-1	Abigail	wife of Nabal and later David; spelled Abigal on three occasions	PN	person	009025003 009025014 009025018 009025018 009025023 009025032 009025036 009025039 009025040 009025042 009027003 009030005 010002002 010003003 010003003 013003001	Abigail	Abigail	Abigail	Abigail	Abigail	Abigail	Abigail	100	100	100	79	100	100	100
אֲבִיגַיִל-2	H0026	ʾăbîgayil-2	Abigail	daughter of Nahash, sister of David, wife of Jether the Ishmaelite, mother of Amasa	PN	person	010017025 013002016 013002017	Abigail	Abigail	Abigail	Abigail	Abigail	Abigail	Abigail	100	100	67	100	67	100	100
אֲבִידָן	H0027	ʾăbîdān	Abidan	son of Gideoni; chief from the tribe of Benjamin at the time of Moses	PN	person	004001011 004002022 004007060 004007065 004010024	Abidan	Abidan	Abidan	Abidan	Abidan	Abidan	Abidan	100	100	100	100	100	100	100
אֲבִידָע	H0028	ʾăbîdāʿ	Abida	son of Midian, son of Keturah, wife of Abraham	PN	person	001025004 013001033	Abida	Abida	Abida	Abida	Abida	Abida	Abida	100	100	100	100	100	100	50
אֲבִיָּה-1	H0029	ʾăbiyyāh-1	Abijah	son of Becher from the tribe of Benjamin	PN	person	013007008	Abijah	Abijah	Abijah	Abijah	Abijah	Abijah	Abiah	100	100	100	100	100	100	100
אֲבִיָּה-2	H0029	ʾăbiyyāh-2	Abijah	wife of Hezron	PN	person	013002024	Abijah	Abijah					Abiah	100	100	0	0	0	0	100
אֲבִיָּה-3	H0029	ʾăbiyyāh-3	Abijah	son of Samuel	PN	person	009008002 013006028	Abijah	Abijah	Abijah	Abijah	Abijah	Abijah	Abiah	100	100	100	100	100	100	100
אֲבִיָּה-4	H0029	ʾăbiyyāh-4	Abijah	priest, in charge of a division of priests in the time of David, from the tribe of Levi	PN	person	013024010	Abijah	Abijah	Abijah	Abijah	Abijah	Abijah	Abijah	100	100	100	100	100	100	100
אֲבִיָּה-5	H0029	ʾăbiyyāh-5	Abijah	son of Rehoboam; king of Judah (913-911/10); also known as Abijam	PN	person	013003010 014011020 014011022 014012016 014013001 014013002 014013003 014013004 014013015 014013017 014013019 014013022 014014001	Abijah	Abijah	Abijah	Abijah	Abijah	Abijah	Abijah	92	92	100	100	100	92	92
אֲבִיָּה-6	H0029	ʾăbiyyāh-6	Abijah	son of Jeroboam	PN	person	011014001	Abijah	Abijah	Abijah	Abijah	Abijah	Abijah	Abijah	100	100	100	100	100	100	100
אֲבִיָּה-7	H0029	ʾăbiyyāh-7	Abijah	daughter of Zechariah, wife of Ahaz, mother of Hezekiah	PN	person	014029001	Abijah	Abijah	Abijah	Abijah	Abijah	Abijah	Abijah	100	100	100	100	100	100	100
אֲבִיָּה-8	H0029	ʾăbiyyāh-8	Abijah	priest in the time after exile from the tribe of Levi	PN	person	016010007 016012004 016012017	Abijah	Abijah	Abijah	Abijah	Abijah	Abijah	Abijah	67	67	100	100	100	100	100
אֲבִיָּהוּ	H0029	ʾăbiyyāhû	Abijah	son of Rehoboam; king of Judah (913-911/10); name also spelled Abijah and also known as Abijam	PN	person	014013020 014013021	Abijah	Abijah	Abijah	Abijah	Abijah	Abijah	Abijah	100	100	100	50	100	50	100
אֲבִיהוּא	H0030	ʾăbîhûʾ	Abihu	son of Aaron, priest from the tribe of Levi	PN	person	002006023 002024001 002024009 002028001 003010001 004003002 004003004 004026060 004026061 013006003 013024001 013024002	Abihu	Abihu	Abihu	Abihu	Abihu	Abihu	Abihu	100	100	100	100	100	100	100
אֲבִיהוּד	H0031	ʾăbîhûd	Abihud	son of Bela from tribe of Benjamin	PN	person	013008003	Abihud	Abihud	Abihud	Abihud	Abihud	Abihud	Abihud	100	100	100	100	100	100	100
אֲבִיהַיִל-1	H0032	ʾăbîhayil-1	Abihail	wife of Abishur, descendant of Jerahmeel, tribe of Judah	PN	person	013002029	Abihail	Abihail	Abihail	Abihail	Abihail	Abihail	Abihail	100	100	100	100	100	100	100
אֲבִיהַיִל-2	H0032	ʾăbîhayil-2	Abihail	daughter of Eliab, son of Jesse	PN	person	014011018	Abihail	Abihail	Abihail	Abihail	Abihail	Abihail	Abihail	100	100	100	100	100	100	100
אֲבִיחַיִל-1	H0032	ʾăbîḥayil-1	Abihail	father of Zuriel from tribe of Levi	PN	person	004003035	Abihail	Abihail	Abihail	Abihail	Abihail	Abihail	Abihail	100	100	100	100	100	100	100
אֲבִיחַיִל-2	H0032	ʾăbîḥayil-2	Abihail	son of Huri from tribe of Gad	PN	person	013005014	Abihail	Abihail	Abihail	Abihail	Abihail	Abihail	Abihail	100	100	100	100	100	100	100
אֲבִיחַיִל-3	H0032	ʾăbîḥayil-3	Abihail	father of Esther from tribe of Benjamin	PN	person	017002015 017009029	Abihail	Abihail	Abihail	Abihail	Abihail	Abihail	Abihail	100	100	100	100	100	100	100
אֲבִיטוּב	H0036	ʾăbîṭûb	Abitub	son of Shaharaim from tribe of Benjamin	PN	person	013008011	Abitub	Abitub	Abitub	Abitub	Abitub	Abitub	Abitub	100	100	100	100	100	100	100
אֲבִיטַל	H0037	ʾăbîṭal	Abital	wife of David, mother of Shephatiah	PN	person	010003004 013003003	Abital	Abital	Abital	Abital	Abital	Abital	Abital	100	100	100	100	100	50	100
אֲבִיָּם	H0038	ʾăbiyyām	Abijam	son of Rehoboam; king of Judah (913-911/10); also known as Abijah	PN	person	011014031 011015001 011015007 011015007 011015008	Abijah	Abijah	Abijam	Abijah	Abijam	Abijah	Abijam	100	100	100	100	100	100	100
אֲבִימָאֵל	H0039	ʾăbîmāʾēl	Abimael	son of Joktan, descendant of Shem	PN	person	001010028 013001022	Abimael	Abimael	Abimael	Abimael	Abima-el	Abimael	Abimael	100	100	100	100	100	100	100
אֲבִימֶלֶךְ-1	H0040	ʾăbîmelek-1	Abimelech	king of Gerar	PN	person	001020002 001020003 001020004 001020008 001020009 001020010 001020014 001020015 001020017 001020018 001021022 001021025 001021025 001021026 001021027 001021029 001021032 001026001 001026008 001026009 001026010 001026011 001026016 001026026	Abimelek	Abimelech	Abimelech	Abimelech	Abimelech	Abimelech	Abimelech	96	96	100	87	100	100	100
אֲבִימֶלֶךְ-2	H0040	ʾăbîmelek-2	Abimelech	son of Gideon; king of Shechem (1129-1126)	PN	person	007008031 007009001 007009003 007009004 007009006 007009016 007009018 007009019 007009020 007009020 007009021 007009022 007009023 007009023 007009024 007009025 007009027 007009028 007009029 007009029 007009031 007009034 007009035 007009038 007009039 007009040 007009041 007009042 007009044 007009045 007009047 007009048 007009048 007009049 007009050 007009052 007009053 007009055 007009056 007010001 010011021	Abimelek	Abimelech	Abimelech	Abimelech	Abimelech	Abimelech	Abimelech	95	95	97	89	97	92	97
אֲבִימֶלֶךְ-3	H0040	ʾăbîmelek-3	Abimelech	son of Abiathar; priest from tribe of Levi	PN	person	013018016	Ahimelek	Ahimelech	Ahimelech	Ahimelech	Ahimelech	Abimelech	Abimelech	100	100	100	100	100	100	100
אֲבִימֶלֶךְ-4	H0040	ʾăbîmelek-4	Abimelech	=Achish, king of Gath?	PN	person	019034000	Abimelek	Abimelech	Abimelech		Abimelech	Abimelech	Abimelech	100	100	100	0	100	100	100
אֲבִינָדָב-1	H0041	ʾăbînādāb-1	Abinadab	man from Kiriath Jearim	PN	person	009007001 010006003 010006003 010006004 013013007	Abinadabs	Abinadabs	Abinadab	Abinadab	Abinadab	Abinadab	Abinadab	50	50	75	50	75	100	100
אֲבִינָדָב-2	H0041	ʾăbînādāb-2	Abinadab	son of Jesse; brother of David, from tribe of Judah	PN	person	009016008 009017013 013002013	Abinadab	Abinadab	Abinadab	Abinadab	Abinadab	Abinadab	Abinadab	100	100	100	100	100	100	100
אֲבִינָדָב-3	H0041	ʾăbînādāb-3	Abinadab	son of king Saul from tribe of Benjamin	PN	person	009031002 013008033 013009039 013010002	Abinadab	Abinadab	Abinadab	Abinadab	Abinadab	Abinadab	Abinadab	100	100	100	100	100	100	100
אֲבִינֹעַם	H0042	ʾăbînoʿam	Abinoam	father of Barak	PN	person	007004006 007004012 007005001 007005012	Abinoam	Abinoam	Abinoam	Abinoam	Abino-am	Abinoam	Abinoam	100	100	100	75	100	100	100
אֶבְיָסָף	H0043	ʾebyāsāp	Ebiasaph	son of Elkanah, descendant of Kohath, father of Assir,  ancestor of Heman, from tribe of Levi	PN	person	013006023 013006037 013009019	Ebiasaph	Ebiasaph	Ebiasaph	Ebiasaph	Ebiasaph	Ebiasaph	Ebiasaph	100	100	100	100	100	100	100
אֲבִיעֶזֶר-1	H0044	ʾăbîʿezer-1	Abiezer	son of Hammolecheth, ancestor of clan from tribe of Manasseh	PN	person	006017002 007006034 007008002 013007018	Abiezer	Abiezer	Abiezer	Abiezer	Abi-ezer	Abiezer	Abiezer	75	75	75	75	75	50	50
אֲבִיעֶזֶר-2	H0044	ʾăbîʿezer-2	Abiezer	man from Anatoth, commander in army of king David	PN	person	010023027 013011028 013027012	Abiezer	Abiezer	Abiezer	Abiezer	Abi-ezer	Abiezer	Abiezer	100	100	100	100	67	100	100
אַבִּיר-1	H0047	ʾabbîr-1	bull; stallion	male bovine; male horse, mainly used for carrying soldiers and drawing chariots; literally means mighty one (see [2]); when used of animals it may refer to war-horses or to bulls. The context usually, but not always, gives the clue as to which sense is meant. The contexts in which bulls are meant unambiguously are PSA 50:13; 68:31; and probably JER 50:11, although there RSV, TEV, NIV, and NAB translate the word as “stallions”.	FA	mammals; domestic animals	007005022 019022012 019050013 019068030 023034007 024008016 024047003 024050011	bulls	bulls	bulls	bulls	bulls	bulls	bulls	38	38	50	50	50	50	63
אַבִּיר-2	H0047	ʾabbîr-2	mighty one	a powerful being, associated with power, strength, aggression, warfare	AT	animals	009021007 018024022 018034020 019076005 019078025 023010013 023046012 024046015 025001015	mighty one	mighty one	mighty ones	mighty God	mighty are	mighty ones	mighty In	11	11	11	11	11	22	11
אָבִיר	H0046	ʾābîr	mighty one	title for Yhwh, stressing his power and exclusivity as the God of Jacob and his descendants; always in combination with "of Jacob" or "of Israel"	BE	supernatural beings and powers; titles	001049024 019132002 019132005 023001024 023049026 023060016	Mighty One	Mighty One	Mighty One	Mighty God	Mighty One	Mighty One	mighty One	100	100	100	50	100	17	33
אַבִּיר לֵב	H0047	ʾabbîr lēb	strong-willed, brave, stubborn	literally, mighty of heart person determined to pursue goals, either a sign of bravery or stubbornness	AT	purpose	019076005 023046012	stubborn-hearted	stubborn-hearted	stubborn	brave	stubborn	stubborn	spoiled	50	50	50	50	50	50	50
אֲבִירָם-1	H0048	ʾăbîrām-1	Abiram	man, son of Eliab, from tribe of Reuben	PN	person	004016001 004016012 004016024 004016025 004016027 004016027 004026009 004026009 005011006 019106017	Abiram	Abiram	Abiram	Abiram	Abiram	Abiram	Abiram	100	100	100	100	100	100	100
אֲבִירָם-2	H0048	ʾăbîrām-2	Abiram	son of Hiel	PN	person	011016034	Abiram	Abiram	Abiram	Abiram	Abiram	Abiram	Abiram	100	100	100	100	100	100	100
אֲבִישַׁג	H0049	ʾăbîšag	Abishag	concubine of David	PN	person	011001003 011001015 011002017 011002021 011002022	Abishag	Abishag	Abishag	Abishag	Abishag	Abishag	Abishag	100	100	100	100	100	100	100
אֲבִישׁוּעַ-1	H0050	ʾăbîšûaʿ-1	Abishua	son of Phinehas; high priest; tribe of Levi	PN	person	013006004 013006005 013006050 015007005	Abishua	Abishua	Abishua	Abishua	Abishua	Abishua	Abishua	100	100	100	75	100	100	100
אֲבִישׁוּעַ-2	H0050	ʾăbîšûaʿ-2	Abishua	son of Bela; tribe of Benjamin	PN	person	013008004	Abishua	Abishua	Abishua	Abishua	Abishua	Abishua	Abishua	100	100	100	100	100	100	100
אֲבִישׁוּר	H0051	ʾăbîšûr	Abishur	descendant of Jerahmeel; tribe of Judah	PN	person	013002028 013002029	Abishur	Abishur	Abishur	Abishur	Abishur	Abishur	Abishur	50	50	50	100	50	50	100
אֲבִישַׁי	H0052	ʾăbîšay	Abishai	son of Zeruiah, sister of David; warrior; also known as Abshai	PN	person	009026006 009026006 009026007 009026008 009026009 010002018 010002024 010003030 010010010 010010014 010016009 010016011 010018002 010018005 010018012 010019021 010020006 010020010 010021017 010023018 013002016 013011020 013018012 013019011 013019015	Abishai	Abishai	Abishai	Abishai	Abishai	Abishai	Abishai	100	100	100	96	100	96	100
אֲבִישָׁלוֹם	H0053	ʾăbîšālôm	Absalom; Abishalom	father of Maakah, wife of Rehoboam; also known as Absalom	PN	person	011015002 011015010	Abishalom	Abishalom	Abishalom	Absalom	Abishalom	Abishalom	Abishalom	100	100	100	100	100	100	100
אֶבְיָתָר	H0054	ʾebyātār	Abiathar	son of Ahimelech; priest in the time of king David	PN	person	009022020 009022021 009022022 009023006 009023009 009030007 009030007 010008017 010015024 010015027 010015029 010015035 010015035 010015036 010017015 010019011 010020025 011001007 011001019 011001025 011001042 011002022 011002026 011002027 011002035 011004004 013015011 013018016 013024006 013027034	Abiathar	Abiathar	Abiathar	Abiathar	Abiathar	Abiathar	Abiathar	93	93	96	82	96	93	96
אָבֵל	H0059	ʾābēl	Abel	town in the territory of Naphtali; short name for Abel-Beth-Maacah; also known as Abel-Maim	PN	settlement	010020014 010020018	Abel	Abel	Abel	Abel	Abel	Abel	Abel	100	100	100	50	100	100	100
אָבֵל בֵּית־מַעֲכָה	H0062	ʾābēl bêt-maʿăkāh	Abel-Beth-Maacah	town in Naphtali; also known as Abel and Abel-Maim	PN	settlement	010020015 011015020 012015029	Abel Beth Maakah	Abel Beth Maacah	Abel-beth-maacah	Abel Beth Maacah	Abel-beth-maacah	Abel Beth Maacah	Abel-beth-maachah	100	100	67	67	67	67	67
אָבֵל הַשִּׁטִּים	H0063	ʾābēl haššiṭṭîm	Abel-Shittim	town; east of the Jordan river	PN	settlement	004033049	Abel Shittim	Abel Shittim	Abel-shittim		Abel-shittim	Abel-shittim	Abel-shittim	100	100	100	0	100	100	100
אָבֵל כְּרָמִים	H0064	ʾābēl kǝrāmîm	Abel-Keramim	town or village in Ammon	PN	settlement	007011033	Abel Keramim	Abel Keramim	Abel-keramim	Abel Keramim	Abel-keramim	Abel Keramim		100	100	100	100	100	100	0
אָבֵל מְחוֹלָה	H0065	ʾābēl mǝḥôlāh	Abel-Meholah	town in Gilead	PN	settlement	007007022 011004012 011019016	Abel Meholah	Abel Meholah	Abel-meholah	Abel Meholah	Abel-meholah	Abel Meholah	Abel-meholah	100	100	100	100	100	100	100
אָבֵל מַיִם	H0066	ʾābēl mayim	Abel-Maim	town in Naphtali; also known as Abel-Beth-Maacah and Abel	PN	settlement	014016004	Abel Maim	Abel Maim	Abel-maim	Abel	Abel-maim	Abel Maim	Abel-maim	100	100	100	100	100	100	100
אָבֵל מִצְרַיִם	H0067	ʾābēl miṣrayim	Abel-Mizraim	a location east of the Jordan	PN	settlement	001050011	Abel Mizraim	Abel Mizraim	Abel-mizraim	Abel Mizraim	Abel-mizraim	Abel Mizraim	Abel-mizraim	100	100	100	100	100	100	100
אֶבֶן-1	H0068	ʾeben-1	stone weight	stones of various sizes and weights, usually marked with their weights, used on balance scales to determine the price of produce being sold	RE	tools; weight; commerce	003019036 005025013 005025013 005025015 010014026 020011001 020016011 020020010 020020010 020020023 020020023 033006011	honest weights	honest weights	Unequal weights	honest weights	just weight	stone weight	just weight	22	22	22	33	22	11	22
אֶבֶן-2	H0068	ʾeben-2	precious stone	generic term for small object consisting of a variety of stone that is considered precious because of its beauty and scarcity; used as ornament or decoration; associated with honor, majesty, and glory	RE	gemstones	001002012 002025007 002025007 002028009 002028010 002028010 002028011 002028011 002028012 002028012 002028017 002028017 002028021 002031005 002035009 002035009 002035027 002035027 002035033 002039006 002039007 002039010 002039014 010012030 011010002 011010010 011010011 013020002 013029002 013029002 013029002 013029002 013029008 014002014 014003006 014009001 014009009 014009010 014032027 020017008 023054012 023054012 025004001 026001026 026010001 026010009 026027022 026028013 026028014 026028016 027011038 038003009 038003009 038009016	precious stones	precious stones	precious stones	precious stones	precious stones	precious stones	precious stones	31	29	31	19	31	17	31
אֶבֶן בֹּהַן בֶּן־רְאוּבֵן	H7205	ʾeben bohan ben-rǝʾûbēn	Stone of Bohan the son of Reuben	a mark of division between Judah and Benjamin	PN	locale	006015006 006018017	Stone of Bohan	Stone of Bohan	stone of Bohan	Stone of Bohan	stone of Bohan	Stone of Bohan	stone of Bohan	100	100	100	100	100	100	100
אֶבֶן הַזֹּחֶלֶת	H2120	ʾeben hazzoḥelet	Serpent’s Stone; Stone of Zoheleth	"serpent’s stone": marker or geological feature located near En-rogel	PN	locale	011001009	Stone of Zoheleth	Stone of Zoheleth	Serpents Stone	sons of King	Serpent's Stone	Stone of Zoheleth	stone of Zoheleth	100	100	100	100	100	100	100
אֶבֶן הָעֵזֶר	H0072	ʾeben hāʿēzer	Ebenezer	"stone of help": memorial stone located between Shiloh and Aphek	PN	locale	009004001 009005001 009007012	Ebenezer	Ebenezer	Ebenezer	Ebenezer	Ebenezer	Ebenezer	Eben-ezer	100	100	100	67	100	100	100
אָבְנַיִם-1	H0070	ʾobnayim-1	pottery wheel	flat, horizontal wheel made of stone, with a pointed projection on the underside; this projection sat in an indentation on a stationary lower stone and served as an axis around which the upper stone turned; used by a potter for making pottery	RE	tools	024018003	the wheel	the wheel	potters house	at his wheel	at his wheel	at his wheel	the wheels	100	100	100	100	100	100	100
אָבְנַיִם-2	H0070	ʾobnayim-2	birthstool	set of two flat objects, made of stone and used in Egypt, on which a woman used to sit or kneel while giving birth	RE	tools; childbirth	002001016	stool	stool	birthstool	birth	birthstool		upon the stools	100	100	100	100	100	0	100
אַבְנֵר	H0074	ʾabnēr	Abner	army commander of Saul, son of Ner from the tribe of Benjamin	PN	person	009014050 009014051 009017055 009017055 009017055 009017057 009020025 009026005 009026007 009026014 009026014 009026014 009026015 010002008 010002012 010002014 010002017 010002019 010002019 010002020 010002021 010002022 010002023 010002024 010002025 010002026 010002029 010002030 010002031 010003006 010003007 010003008 010003009 010003011 010003012 010003016 010003017 010003019 010003019 010003020 010003020 010003021 010003021 010003022 010003023 010003024 010003025 010003026 010003027 010003028 010003030 010003031 010003032 010003032 010003033 010003033 010003037 010004001 010004012 011002005 011002032 013026028 013027021	Abner	Abner	Abner	Abner	Abner	Abner	Abner	92	92	98	89	98	98	98
אֶבֶץ	H0077	ʾebeṣ	Ebez	town in territory of Issachar	PN	settlement	006019020	Ebez	Ebez	Ebez	Ebez	Ebez	Ebez	Abez	100	100	100	100	100	100	100
אִבְצָן	H0078	ʾibṣān	Ibzan	judge of Israel	PN	person	007012008 007012010	Ibzan	Ibzan	Ibzan	Ibzan	Ibzan	Ibzan	Ibzan	100	100	100	50	100	50	100
אַבְרָהָם	H0085	ʾabrāhām	Abraham	son of Terah; ancestor of Israel; also known as Abram	PN	person	001017005 001017009 001017015 001017017 001017018 001017022 001017023 001017023 001017024 001017026 001018006 001018007 001018011 001018013 001018016 001018017 001018018 001018019 001018022 001018023 001018027 001018033 001018033 001019027 001019029 001020001 001020002 001020009 001020010 001020011 001020014 001020017 001020018 001021002 001021003 001021004 001021005 001021007 001021008 001021009 001021010 001021011 001021012 001021014 001021022 001021024 001021025 001021027 001021028 001021029 001021034 001022001 001022001 001022003 001022004 001022005 001022006 001022007 001022008 001022009 001022010 001022011 001022011 001022013 001022013 001022014 001022015 001022019 001022019 001022020 001022023 001023002 001023003 001023005 001023007 001023010 001023012 001023014 001023016 001023016 001023018 001023019 001023020 001024001 001024001 001024002 001024006 001024009 001024012 001024012 001024015 001024027 001024034 001024042 001024048 001024052 001024059 001025001 001025005 001025006 001025006 001025007 001025008 001025010 001025010 001025011 001025012 001025012 001025019 001025019 001026001 001026003 001026005 001026015 001026018 001026018 001026024 001026024 001028004 001028004 001028009 001028013 001031042 001031053 001032009 001035012 001035027 001048015 001048016 001049030 001049031 001050013 001050024 002002024 002003006 002003015 002003016 002004005 002006003 002006008 002032013 002033001 003026042 004032011 005001008 005006010 005009005 005009027 005029013 005030020 005034004 006024002 006024003 011018036 012013023 013001027 013001028 013001032 013001034 013016016 013029018 014020007 014030006 016009007 019047009 019105006 019105009 019105042 023029022 023041008 023051002 023063016 024033026 026033024 033007020	Abraham	Abraham	Abraham	Abraham	Abraham	Abraham	Abraham	91	91	94	86	94	93	94
אַבְרָם	H0087	ʾabrām	Abram	son of Terah; ancestor of Israel; later known as Abraham	PN	person	001011026 001011027 001011029 001011029 001011031 001011031 001012001 001012004 001012004 001012005 001012006 001012007 001012009 001012010 001012014 001012016 001012017 001012018 001013001 001013002 001013004 001013005 001013007 001013008 001013012 001013014 001013018 001014012 001014013 001014013 001014014 001014019 001014021 001014022 001014023 001015001 001015001 001015002 001015003 001015011 001015012 001015013 001015018 001016001 001016002 001016002 001016003 001016003 001016003 001016005 001016006 001016015 001016015 001016016 001016016 001017001 001017001 001017003 001017005 013001027 016009007	Abram	Abram	Abram	Abram	Abram	Abram	Abram	88	88	92	80	92	92	92
אַבְשָׁלוֹם-1	H0053	ʾabšālôm-1	Absalom	son of David	PN	person	010003003 010013001 010013004 010013020 010013020 010013022 010013022 010013023 010013023 010013024 010013025 010013026 010013027 010013028 010013029 010013029 010013030 010013032 010013034 010013037 010013038 010013039 010014001 010014021 010014023 010014024 010014025 010014027 010014028 010014029 010014030 010014031 010014032 010014033 010014033 010015001 010015002 010015002 010015003 010015004 010015006 010015006 010015007 010015010 010015010 010015011 010015012 010015012 010015013 010015014 010015031 010015034 010015037 010016008 010016015 010016016 010016016 010016017 010016018 010016020 010016021 010016022 010016022 010016023 010017001 010017004 010017005 010017006 010017006 010017007 010017009 010017014 010017014 010017015 010017018 010017020 010017024 010017025 010017026 010018005 010018005 010018009 010018009 010018010 010018012 010018014 010018015 010018017 010018018 010018018 010018029 010018032 010018033 010018033 010018033 010019001 010019004 010019004 010019006 010019009 010019010 010020006 011001006 011002007 011002028 013003002 019003000	Absalom	Absalom	Absalom	Absalom	Absalom	Absalom	Absalom	92	92	95	83	95	97	97
אַבְשָׁלוֹם-2	H0053	ʾabšālôm-2	Absalom	father of Maacah, who was wife of Rehoboam; also known as Abishalom	PN	person	014011020 014011021	Absalom	Absalom	Absalom	Absalom	Absalom	Absalom	Absalom	100	100	100	50	100	100	100
אֹבֹת	H0088	ʾobot	Oboth	location in Edom along route of exodus	PN	settlement	004021010 004021011 004033043 004033044	Oboth	Oboth	Oboth	Oboth	Oboth	Oboth	Oboth	100	100	100	75	100	100	100
אָגֵא	H0089	ʾāgēʾ	Agee	father of Shammah, warrior, time of king David	PN	person	010023011	Agee	Agee	Agee	Agee	Agee	Agee	Agee	100	100	100	100	100	100	100
אֲגַג-1	H0090	ʾăgag-1	Agag	man	PN	person	004024007	Agag	Agag	Agag	Agag	Agag	Agag	Agag	100	100	100	100	100	100	100
אֲגַג-2	H0090	ʾăgag-2	Agag	king of Amalek	PN	person	009015008 009015009 009015020 009015032 009015032 009015032 009015033	Agag	Agag	Agag	Agag	Agag	Agag	Agag	100	100	100	80	100	100	100
אֲגָגִי	H0091	ʾăgāgiy	Agagite	descendant of Agag	PN	person	017003001 017003010 017008003 017008005 017009024	Agagite	Agagite	Agagite	Agag	Agagite	Agagite	Agagite	100	100	100	80	100	100	100
אֱגוֹז	H0093	ʾĕgôz	walnut	walnut tree (Juglans regia); has a broad crown and fresh green oval leaves which offer welcome shade and an agreeable fragrance; produces edible nuts, covered by a thick rind which yields a brown dye; other uses include oil, tannin (for leather processing), and wood for furniture.	FL	trees; fruits	022006011	nut	nut	nut		nut	walnut	of nuts	100	100	100	0	100	100	100
אָגוּר	H0094	ʾāgûr	Agur	a wise man, son of Jakeh	PN	person	020030001	Agur	Agur	Agur	Agur	Agur	Agur	Agur	100	100	100	100	100	100	100
אֶגְלַיִם	H0097	ʾeglayim	Eglaim	town in Moab	PN	settlement	023015008	Eglaim	Eglaim	Eglaim	Eglaim	Eglaim	Eglaim	Eglaim	100	100	100	100	100	100	100
אַגְמוֹן	H0100	ʾagmôn	rush, bulrush	plant with flexible stalks, no leaves, a meter (3 feet) or less in height; grows in or by rivers and marshes (various species of Scirpus and Juncus); produces much smoke when burning; used for making rope, mats, baskets, and walls and partitions of homes	FL	grasses	018041002 018041020 023009014 023019015 023058005	through	through	rushes	punish	rush	rushes	rush	20	20	20	20	20	20	40
אַדְבְּאֵל	H0110	ʾadbǝʾēl	Adbeel	son of Ishmael	PN	person	001025013 013001029	Adbeel	Adbeel	Adbeel	Adbeel	Adbeel	Adbeel	Adbeel	100	100	100	100	100	100	100
אֲדַד	H0111	ʾădad	Hadad	son or descendant of king of Edom; usually known as Hadad	PN	person	011011017	Hadad	Hadad	Hadad	Hadad	Hadad	Hadad	Hadad	100	100	100	100	100	100	100
אִדּוֹ	H0112	ʾiddô	Iddo	man; tribe of Levi; time of Ezra	PN	person	015008017 015008017	Iddo	Iddo	Iddo	Iddo	Iddo	Iddo	Iddo	100	100	100	100	100	100	100
