LookupKey	Id	Gloss	Definition	spell-N	Category	Domain	Priority
barracks	παρεμβολή	soldiers quarters; barracks	a camp or barracks for soldiers	barracks	RE	constructions	10
barricade	χάραξ	palisade; barricade	a fence of poles or stakes used to fortify entrenchments		RE	constructions	14
barricades	χάραξ	palisade; barricade	a fence of poles or stakes used to fortify entrenchments		RE	constructions	14
barsabas	Βαρσαββᾶς-1	Barsabbas	the family name of a certain Joseph (often called Justus) who was one of two candidates for the place of Judas Iscariot	Barsabbas	PN	person	9
barsabas	Βαρσαββᾶς-2	Barsabbas	the family name of a certain Judas who was appointed as a companion of Paul	Barsabbas	PN	person	9
barsabbas	Βαρσαββᾶς-1	Barsabbas	the family name of a certain Joseph (often called Justus) who was one of two candidates for the place of Judas Iscariot	Barsabbas	PN	person	5
barsabbas	Βαρσαββᾶς-2	Barsabbas	the family name of a certain Judas who was appointed as a companion of Paul	Barsabbas	PN	person	5
bartholomew	Βαρθολομαῖος	Bartholomew	one of the twelve apostles	Bartholomew	PN	person	5
bartimaeus	Βαρτιμαῖος	Bartimaeus	a blind man	Bartimaeus	PN	person	5
bartimus	Βαρτιμαῖος	Bartimaeus	a blind man	Bartimaeus	PN	person	9
baruch	בָּרוּךְ-1	Baruch	son of Zabbai; Levite; after exile	Baruch	PN	person	6
baruch	בָּרוּךְ-2	Baruch	priest; after exile	Baruch	PN	person	6
baruch	בָּרוּךְ-3	Baruch	son of Col-Hozeh, father of Maaseiah; tribe of Judah	Baruch	PN	person	6
baruch	בָּרוּךְ-4	Baruch	son of Neriah; secretary of prophet Jeremiah	Baruch	PN	person	6
baruch	Βαρουχ (DC)	Baruch	NEW		PN	person	9
barzillai	בַּרְזִלַּי-1	Barzillai	man; from Rogelim, Gilead	Barzillai	PN	person	6
barzillai	בַּרְזִלַּי-2	Barzillai	from Meholah; father of Adriel, husband of daughter of Saul	Barzillai	PN	person	6
barzillai	בַּרְזִלַּי-3	Barzillai	man; after exile	Barzillai	PN	person	6
basemath	בָּשְׂמַת-1	Basemath	wife of Esau	Basemath	PN	person	6
basemath	בָּשְׂמַת-2	Basemath	woman	Basemath	PN	person	6
bashan	בָּשָׁן	Bashan	area; north-east of Jordan	Bashan	PN	area	1
bashemath	בָּשְׂמַת-1	Basemath	wife of Esau	Basemath	PN	person	10
basket	σαργάνη	basket	a large container made of woven material, usually grass or reeds; used for carrying a variety of things, including food and produce, and for moving soil from one place to another	basket	RE	artifacts; containers	10
basket	μόδιος	basket; box	a container for dry matter with a capacity of about eight liters (about two gallons)	bowl	RE	artifacts; containers	14
basmath	בָּשְׂמַת-2	Basemath	woman	Basemath	PN	person	10
bat	עֲטַלֵּף	bat	small nocturnal flying mammal; forelegs support flaps of skin that function as wings; eats fruit or insects; Chiroptera order; associated with death, desolation, destruction, and witchcraft; unclean, not to be eaten	bat	FA	mammals	11
bath	בַּת	bath	a unit of liquid measure of which the exact quantity is unknown and ranges between 20 and 40 liters; 1 bath corresponds to 1 ephah dry measure	bath	RE	measure	11
bathe	βαπτίζω (DC)	to dip oneself, bathe	NEW		MI	body	14
bathed	βαπτίζω (DC)	to dip oneself, bathe	NEW		MI	body	14
bathsheba	בַּת־שֶׁבַע	Bathsheba	daughter of Ammiel, Eliam; wife of Uriah, David	Bathsheba	PN	person	6
bathsheba	בַּת־שׁוּעַ-2	Bath-shua	daughter of Ammiel, mother of Shime-a, Shobab, Nathan, and Solomon, by David	Bathsheba	PN	person	6
bathshua	בַּת־שׁוּעַ-1	Bath-shua	Canaanite, mother of Er, Onan, Shelah, by Judah	Shua	PN	person	6
bathshua	בַּת־שׁוּעַ-2	Bath-shua	daughter of Ammiel, mother of Shime-a, Shobab, Nathan, and Solomon, by David	Bathsheba	PN	person	6
bats	עֲטַלֵּף	bat	small nocturnal flying mammal; forelegs support flaps of skin that function as wings; eats fruit or insects; Chiroptera order; associated with death, desolation, destruction, and witchcraft; unclean, not to be eaten	bat	FA	mammals	15
bavai	בַּוַּי	Bavvai	son of Henadad; after exile		PN	person	10
bavvai	בַּוַּי	Bavvai	son of Henadad; after exile		PN	person	6
bazan	Βαζαν (DC)	Bazan	NEW		PN	person	9
bazlith	בַּצְלִית	Bazlith	head of a family of temple servants; after exile	Bazluth	PN	person	6
bazluth	בַּצְלוּת	Bazluth	head of a family of temple servants; after exile	Bazluth	PN	person	6
bazluth	בַּצְלִית	Bazlith	head of a family of temple servants; after exile	Bazluth	PN	person	6
bdellium	בְּדֹלַח	bdellium gum	possibly yellowish transparent and fragrant gum which flows out from an incision in the bark of a certain shrub (Commiphora) which grows in South Arabia; manna was said to look like it		FL	perfumes and spices	15
bdelliumand	בְּדֹלַח	bdellium gum	possibly yellowish transparent and fragrant gum which flows out from an incision in the bark of a certain shrub (Commiphora) which grows in South Arabia; manna was said to look like it		FL	perfumes and spices	11
be	ירשׁ-3	be, become poor	to lose one's possessions	become poor	MI	possession	11
beable	δοκός	beam	thick wooden poles; used to support a roof		RE	constructions	14
beabovereproach	ἀνεπίλημπτος	without fault; beyond reproach	pertaining to what is so perfect or good it cannot be criticized	be above reproach	AT	morals and ethics	10
beafraid	φοβέω-1	fear; be afraid	to be in a state of fearing (in a negative sense)	be afraid	AT	confidence	10
beahypocrite	ὑποκρίνομαι (DC)	to be a hypocrite	NEW		MI		14
bealiah	בְּעַלְיָה	Bealiah	warrior; tribe of Benjamin; time of king David	Bealiah	PN	person	6
bealoth	בְּעָלוֹת-1	Bealoth	village; territory of Judah in the Negeb	Bealoth	PN	settlement	1
bealoth	בְּעָלוֹת-2	Bealoth	location; north of Israel	Aloth	PN	locale	1
beam	δοκός	beam	thick wooden poles; used to support a roof		RE	constructions	14
beans	פּוֹל	beans	collective term for seeds, often growing in pods, of the legume family	beans	FL	food	11
bear	ἄρκος	bear	large wild four-footed mammal with thick fur and doglike face; walks on all fours but may stand up on its back legs to get a better view; may be 2 m. tall when standing up and weigh over 200 kilos; feeds on roots, berries, wild fruit, mice, and lizards, and, occasionally, small livestock; Ursus arctos syriacus; dangerous when provoked or robbed of cubs; associated with violence and danger	bear	FA	mammals; wild animals	10
bear	דֹּב	bear	large mammal with thick fur and doglike face; walks on all fours but may stand up on its back legs to get a better view; may be 2 m. tall when standing up and weigh over 200 kilos; feeds on roots, berries, wild fruit, mice, and lizards, and, occasionally, small livestock; Ursus arctos syriacus; dangerous when provoked or robbed of cubs; associated with violence and danger	bear	FA	mammals; wild animals	11
beardedvulture	פֶּרֶס	bearded vulture or lammergeier	bearded vulture or lammergeier	black vulture	FA	birds	15
bears	ἄρκος	bear	large wild four-footed mammal with thick fur and doglike face; walks on all fours but may stand up on its back legs to get a better view; may be 2 m. tall when standing up and weigh over 200 kilos; feeds on roots, berries, wild fruit, mice, and lizards, and, occasionally, small livestock; Ursus arctos syriacus; dangerous when provoked or robbed of cubs; associated with violence and danger	bear	FA	mammals; wild animals	10
bears	ἄρκος (DC)	bear	large wild four-footed mammal with thick fur and doglike face; walks on all fours but may stand up on its back legs to get a better view; may be 2 m. tall when standing up and weigh over 200 kilos; feeds on roots, berries, wild fruit, mice, and lizards, and, occasionally, small livestock; Ursus arctos syriacus; dangerous when provoked or robbed of cubs; associated with violence and danger		FA	mammals	14
beartheconsequences	נשׂא-1	bear the consequences of	bear the consequences of	bear the consequences	AT	guilt, responsibility	15
beartheiniquity	נשׂא-1	bear the consequences of	bear the consequences of	bear the consequences	AT	guilt, responsibility	15
bearthepunishment	נשׂא-1	bear the consequences of	bear the consequences of	bear the consequences	AT	guilt, responsibility	15
bearwitness	μαρτυρέω	bear witness; testify; be a witness; attest; affirm; confirm	to provide information about a person or an event concerning which the speaker has direct knowledge	testify	MI	communication; truth	10
beast	θηρίον-1	animal; beast	any four-footed animal, either wild or domesticated	beast	FA	animals	10
beast	θηρίον-3	Beast	antichrist, depicted as a wild and dangerous animal	beast	BE	supernatural beings and powers; antichrist	10
beastofburden	ὑποζύγιον	pack animal; beast of burden; riding animal	an animal which can be used to carry a burden or can be ridden	riding on a	FA	mammals; domestic animals	14
beasts	חַיָּה-1	living creature, wild land animal, beast	animal; generic term, sometimes referring to all animals, sometimes limited to wild land animals only	beasts	FA	animals	11
beasts	חֵיוָה (AR)	living creature, animal, beast	animal; generic term, sometimes referring to all animals, sometimes limited to wild land animals only	animals	FA	animals	11
beastsand	בְּעִיר-2	animals (to ride on); beasts of burden	collective term for domesticated animals that carry loads	animals and return	FA	domestic animals	11
beatenwork	מִקְשָׁה-1	hammered work; beaten work	metal object that has been beaten into shape with a hammer	hammered out	RE	crafts	15
beatpeace	εἰρηνεύω	be at peace; live in peace	to live in peace with others	be at peace	AT	well-being	10
beautifulstones	אֶקְדָּח	precious stone; jewel	precious stone, probably with a fiery glow	precious stones	RE	gemstones	15
bebai	Βηβαι-2 (DC)	Bebai	town		PN	settlement	4
bebai	בֵּבַי	Bebai	family head; after exile	Bebai	PN	person	6
bebandaged	καταδέω (DC)	to bandage	NEW		MI	health	14
becalledafter	νομοθετέω	enact laws; be enacted (pass.)	to give or to establish a law		MI	morals and ethics	14
becamefutile	ματαιόομαι	become worthless, become nonsense	to become useless and hence worthless	became futile	AT	purpose	10
becamevain	ματαιόομαι	become worthless, become nonsense	to become useless and hence worthless	became futile	AT	purpose	14
because	Ζεύς	Zeus	the chief Greek deity	Zeus	PN	supernatural beings and powers	4
because	Ησαυ (DC)	Esau	in the phrase "sons of Esau" Edomites		PN	person	9
because	בָּטוּחַ	safe, secure, confident	having a feeling of safety or assurance	because	AT	attitudes and emotions	11
because	δικαίωμα (DC)	ordinance, decree	
    		MI		14
becher	בַּכְרִי	Becherite	descendant of Becher; tribe of Ephraim	Bekerite	PN	group	5
becher	בֶּכֶר-1	Becher	son of Benjamin	Beker	PN	person	6
becher	בֶּכֶר-2	Becher	son of Ephraim	Beker	PN	person	6
becherites	בַּכְרִי	Becherite	descendant of Becher; tribe of Ephraim	Bekerite	PN	group	5
becherthe	בַּכְרִי	Becherite	descendant of Becher; tribe of Ephraim	Bekerite	PN	group	5
bechorath	בְּכוֹרַת	Becorath	son of Aphiah; ancestor of king Saul; tribe of Benjamin	Bekorath	PN	person	10
becomeadisciple	μαθητεύω	be or become a disciple; make disciples, cause people to become followers	to be a follower or a disciple of someone, in the sense of adhering to the teachings or instructions of a leader and in promoting the cause of such a leader; to cause someone to become a disciple or follower of	become a disciple	MI	teaching	14
becomedesolateand	ἔπαυλις	homestead; house; residence	property in which a person was expected to reside, either as the result of ownership or legal contract	deserted	RE	constructions	14
becomepoor	ירשׁ-3	be, become poor	to lose one's possessions	become poor	MI	possession	15
becomesadisciple	μαθητεύω	be or become a disciple; make disciples, cause people to become followers	to be a follower or a disciple of someone, in the sense of adhering to the teachings or instructions of a leader and in promoting the cause of such a leader; to cause someone to become a disciple or follower of	become a disciple	MI	teaching	14
becondemned	καταγινώσκω (DC)	to condemn	
    		MI		14
becontrolled	ἔξεστι(ν)-1	be possible; be permissible	to mark an event as being possible in a highly generic sense	beneficial	AT	morals and ethics	14
becorath	בְּכוֹרַת	Becorath	son of Aphiah; ancestor of king Saul; tribe of Benjamin	Bekorath	PN	person	6
bectileth	Βεκτιλεθ (DC)	Bectileth	location; name of a plain		PN	nature	4
bed	κλίνη	bed; couch; cot; stretcher; bier	any piece of furniture employed for reclining or lying on	bed	RE	artifacts; furnishings	10
bed	κλίνη (DC)	bed, sleeping mat	
    		RE		14
bed	κοιτών (DC)	bedroom	
    		RE		14
bed	κοίτη (DC)	bed, marriage bed, sexual intercourse	NEW		RE		14
bed	στρωμνή (DC)	bed, sleeping mat	
    		RE		14
bedad	בְּדַד	Bedad	father of Hadad; Edomite	Bedad	PN	person	6
bedan	בְּדָן-2	Bedan	son of Ulam; tribe of Manasseh	Bedan	PN	person	6
bedan	בְּדָן-1	Bedan	judge of Israel		PN	person	10
bedeiah	בֵּדְיָה	Bediah	man; married a foreign wife; after exile	Bedeiah	PN	person	6
bedpost	κανών (DC)	bedpost	
    		RE		14
bee	μέλισσα (DC)	bee	NEW		FA	insects, spiders, and worms	14
beeliada	בְּעֶלְיָדָע	Beeliada	son of David; tribe of Judah	Beeliada	PN	person	6
beelzebub	Βεελζεβούλ	Beelzebul	the name of the Devil as the prince of the demons	Beelzebul	PN	supernatural beings and powers	4
beelzebul	Βεελζεβούλ	Beelzebul	the name of the Devil as the prince of the demons	Beelzebul	PN	supernatural beings and powers	0
beenconverted	προσήλυτος	Jewish convert, proselyte	a Gentile who had converted to Judaism	Jews and converts	BE	people; association	14
beenfoundedon	θεμελιόω	lay a foundation; found something upon	to lay or construct a foundation	had its foundation	RE	constructions	14
beenpossessed	δαιμονίζομαι	be demon possessed	to be possessed by a demon	the demon-possessed	AT	supernatural beings and powers	14
beenunfaithful	מעל	be unfaithful	do something that is not in line with the behavior that one has committed oneself to	been unfaithful	AT	attitudes and emotions; morals and ethics	11
beenvious	קנא	be zealous, be concerned; be envious, be jealous	to experience a sentiment of anger or strong concern for the sake of someone else because that person does not receive the treatment they are entitled to; to experience a sentiment of anger toward someone else because that person has qualities, privileges, or possessions that one feels one should have as well	be envious	AT	attitudes and emotions	15
beer	בְּאֵר-1	Beer	location along route of exodus	Beer	PN	locale	1
beer	בְּאֵר-2	Beer	location	Beer	PN	locale	1
beera	בְּאֵרָא	Bera	son of Zophah; tribe of Asher	Beera	PN	person	6
beerah	בְּאֵרָה	Beerah	son of Baal; tribe of Reuben	Beerah	PN	person	6
beerelim	בְּאֵר אֵלִים	Beer-Elim	location; Moab	Beer Elim	PN	locale	1
beeri	בְּאֵרִי-1	Beeri	father of Judith, wife of Esau	Beeri	PN	person	6
beeri	בְּאֵרִי-2	Beeri	father of prophet Hosea	Beeri	PN	person	6
beerlahairoi	בְּאֵר לַחַי רֹאִי	Beer-Lahai-Roi	location	Beer Lahai Roi	PN	locale	1
beeroth	בְּאֵרוֹת	Beeroth	town; territory of Benjamin	Beeroth	PN	settlement	1
beerothbenejaakan	בְּאֵרֹת בְּנֵי־יַעֲקָן	Beeroth Benejaakan	location along route of exodus	of Bene Jaakan	PN	locale	5
beerothbeneyaaqan	בְּאֵרֹת בְּנֵי־יַעֲקָן	Beeroth Benejaakan	location along route of exodus	of Bene Jaakan	PN	locale	5
beerothof	בְּאֵרֹת בְּנֵי־יַעֲקָן	Beeroth Benejaakan	location along route of exodus	of Bene Jaakan	PN	locale	5
beersheba	בְּאֵר שֶׁבַע	Beersheba	town; territory of Simeon	Beersheba	PN	settlement	1
bees	דְּבוֹרָה-1	bee	flying insect that collects nectar from flowers and converts it into honey; lives in swarms made up of many thousands of insects; stings only when threatened; with connotations ranging from positive (food producing) to negative (as metaphor for an army of well-organized enemies)	bees	FA	insects, spiders, and worms	11
beeshtarah	בְּעֶשְׁתְּרָה	Beeshterah	town; for Levites; territory of Manasseh	Be Eshterah	PN	settlement	5
beeshterah	בְּעֶשְׁתְּרָה	Beeshterah	town; for Levites; territory of Manasseh	Be Eshterah	PN	settlement	1
beestablished	אמן-1	Niphal: be firm, well-established; be loyal, steadfast, reliable, trustworthy	have the quality of being stable or trustworthy or long-lasting	trustworthy	AT	faithfulness	15
beforbidden	ערל-1	regard as forbidden; consider unclean	figuratively: regard as uncircumcised regard as forbidden or ritually unclean	fruit as forbidden	MI		15
before	σίκερα	beer	an intoxicating fermented drink made from grain	never	RE	artifacts; food	14
beforehandforburial	μυρίζω	anoint with perfume; anoint for burial	(derivative of μύρον perfume) to anoint with perfumed oil or ointment, often in connection with burial	for my burial	RE	anoint; perfumes and spices	14
beforehandforburying	μυρίζω	anoint with perfume; anoint for burial	(derivative of μύρον perfume) to anoint with perfumed oil or ointment, often in connection with burial	for my burial	RE	anoint; perfumes and spices	14
beforehandunpunished	πάρεσις	passing over; leaving unpunished	the act of intentionally not regarding or being concerned about certain objects or events	beforehand unpunished	AT	atone, forgive; repay, reward, punish	14
beforethesabbath	προσάββατον	day before the Sabbath, Friday	the day immediately before the Sabbath, a day of preparation for the Sabbath	before the Sabbath	RI	calendar	10
befulfilled	πληρόω-2	to cause to happen; to make happen; to fulfill	to cause to happen, with the implication of fulfilling some purpose	to fulfill	MI	happen	14
begentle	μετριοπαθέω	deal gently	to be gentle in one's attitude toward someone	deal gently	AT	attitudes and emotions; compassion	14
begformercy	חנן-2	to beg for mercy	to try to win a favorable attitude from someone else by approaching that person in a very humble way	beg for mercy	AT	attitudes and emotions; compassion	15
beginning	ἀρχή (DC)	beginning	NEW		MI	time	14
beglorified	ἐνδοξάζομαι	be glorified, be honored	to be the object of great honor	be glorified	AT	glory; honor, respect, status	10
beglorifiedwith	συνδοξαζομαι	be honored together with	to receive great honor together with someone else	and co-heirs with	AT	honor, respect, status	10
begracious	חנן-1	to be kindly disposed; be generous; be merciful	to be favorably disposed to someone, or to experience an emotion of compassion towards other people, and act accordingly	be gracious	AT	attitudes and emotions; compassion	11
beguilty	אשׁם	to be guilty; to be held guilty, suffer punishment; declare guilty	to bear responsibility for an unlawful deed committed either knowingly or unknowingly	their guilt	AT	guilt, responsibility; law	15
behave	ἀναστρέφω	conduct oneself; behave	to conduct oneself, with apparent focus upon overt daily behavior	we have	AT	behavior	10
beholdbehemoth	בְּהֵמוֹת	the monster Behemoth	a large wild animal, sometimes identified with the hippopotamus but more likely to denote the elephant or a mythical monster	at Behemoth	FA	wild animals; mythical	15
beholy	קדשׁ	be holy, prove oneself holy, declare holy, be consecrated	be holy, prove oneself holy, declare holy, be consecrated	consecrate	AT	clean, pure, holy	15
being	περίεργος	being a busybody; meddling	pertaining to meddling in someone else's business	being	MI	purpose; association	14
beingajew	Ἰουδαϊκῶς	like a Jew, in a Jewish manner	pertaining to the Jewish nation	like a Jew	PN	group	4
beingcondemned	αὐτοκατακριτος	self-condemned	pertaining to one who is condemned as the result of his own actions	self-condemned	MI	psychological faculties; guilt, responsibility	14
beinginfull	σύμψυχος	joined in soul	pertaining to similarity of attitude and spirit	one in	AT	attitudes and emotions; association	14
bejealous	קנא	be zealous, be concerned; be envious, be jealous	to experience a sentiment of anger or strong concern for the sake of someone else because that person does not receive the treatment they are entitled to; to experience a sentiment of anger toward someone else because that person has qualities, privileges, or possessions that one feels one should have as well	be envious	AT	attitudes and emotions	11
bejudge	κρίνω (DC)	to judge, to consider, to think	
    		MI		14
beker	בֶּכֶר-1	Becher	son of Benjamin	Beker	PN	person	6
beker	בֶּכֶר-2	Becher	son of Ephraim	Beker	PN	person	6
bekerite	בַּכְרִי	Becherite	descendant of Becher; tribe of Ephraim	Bekerite	PN	group	5
bekerites	בַּכְרִי	Becherite	descendant of Becher; tribe of Ephraim	Bekerite	PN	group	5
bekorath	בְּכוֹרַת	Becorath	son of Aphiah; ancestor of king Saul; tribe of Benjamin	Bekorath	PN	person	10
bel	בֵּל	Bel	deity worshipped by people of Babylon	Bel	PN	supernatural beings and powers	1
bela	בֶּלַע-1	Bela	city identified with Zoar, in the south of Jericho Valley; on south bank of Wadi-Zered in Edomite territory	Bela	PN	settlement	1
bela	בַּלְעִי	Belaite	descendant of Bela, son of Benjamin	Belaite	PN	group	5
bela	בֶּלַע-2	Bela	son of Beor; king of Edom	Bela	PN	person	6
bela	בֶּלַע-3	Bela	son of Benjamin	Bela	PN	person	6
bela	בֶּלַע-4	Bela	son of Azaz; tribe of Reuben	Bela	PN	person	6
belaite	בַּלְעִי	Belaite	descendant of Bela, son of Benjamin	Belaite	PN	group	5
belaites	בַּלְעִי	Belaite	descendant of Bela, son of Benjamin	Belaite	PN	group	1
belial	Βελιαρ	Beliar	a name given to the Devil or to the Antichrist	Belial	PN	supernatural beings and powers	0
beliar	Βελιαρ	Beliar	a name given to the Devil or to the Antichrist	Belial	PN	supernatural beings and powers	4
believe	πιστεύω	believe; entrust; be entrusted with (pass.)	to believe something to be true and, hence, worthy of being trusted; to entrust something to the care of someone	believe	AT	faith	10
believer	Βελιαρ	Beliar	a name given to the Devil or to the Antichrist	Belial	PN	supernatural beings and powers	4
bells	κώδων (DC)	jinglet, bell	
    		RE		14
belly	κοιλία	belly, internal organs	the entire digestive apparatus, including stomach and intestines		MI	body; parts	14
belmain	Βαιλμαιν (DC)	Belmain	NEW		PN	settlement	4
belongedto	μετέχω	partake, participate; belong to	to share in the possession of something, including a meal; to be included in the membership of a group	belonged to	AT	fellowship	14
beloved	ἀγαπητός	beloved; dear	pertaining to one who or that which is loved	dear	AT	affection	10
belshazzar	בֵּלְשַׁאצַּר (AR)	Belshazzar	king of Babylon	Belshazzar	PN	person	6
belshazzar	בֵּלְשַׁאצַּר	Belshazzar	king of Babylon	Belshazzars	PN	person	6
belshazzar	Βαλτασαρ (DC)	Belshazzar	NEW		PN	person	9
belshazzars	בֵּלְשַׁאצַּר	Belshazzar	king of Babylon	Belshazzars	PN	person	6
belt	ζώνη	belt; girdle	a band of leather or cloth worn around the waist outside of one's clothing	belt	RE	artifacts; clothing	10
belteshazzar	בֵּלְטְשַׁאצַּר (AR)	Belteshazzar	Babylonian (Aramaic) name given to Daniel	Belteshazzar	PN	person	6
belteshazzar	בֵּלְטְשַׁאצַּר	Belteshazzar	Babylonian (Aramaic) name given to Daniel	Belteshazzar	PN	person	6
bemerciful	חנן-1	to be kindly disposed; be generous; be merciful	to be favorably disposed to someone, or to experience an emotion of compassion towards other people, and act accordingly	be gracious	AT	attitudes and emotions; compassion	15
bemindfulof	פקד-1	take notice; be mindful (of someone, something)	to take notice of someone’s misfortune or suffering and intervene in order to help	made the	AT	attitudes and emotions	15
ben	בֵּן	Ben	Levite; time of king David	Benaiah	PN	person	10
benabinadab	בֶּן־אֲבִינָדָב	Ben-Abinadab	official; time of king Solomon	Ben-Abinadabin	PN	person	6
benabinadabin	בֶּן־אֲבִינָדָב	Ben-Abinadab	official; time of king Solomon	Ben-Abinadabin	PN	person	10
benaiah	בֵּן	Ben	Levite; time of king David	Benaiah	PN	person	6
benaiah	בְּנָיָה-1	Benaiah	son of Jehoiada; warrior; later army commander of Solomon	Benaiah	PN	person	6
benaiah	בְּנָיָה-2	Benaiah	man; tribe of Simeon	Benaiah	PN	person	6
benaiah	בְּנָיָה-3	Benaiah	warrior; time of David	Benaiah	PN	person	6
benaiah	בְּנָיָה-4	Benaiah	descendant of Asaph; tribe of Levi	Benaiah	PN	person	6
benaiah	בְּנָיָה-5	Benaiah	descendant of Parosh; married a foreign wife; after exile	Benaiah	PN	person	6
benaiah	בְּנָיָה-6	Benaiah	descendant of Pahath-Moab; married a foreign wife; after exile	Benaiah	PN	person	6
benaiah	בְּנָיָה-7	Benaiah	descendant of Bani; married a foreign wife; after exile	Benaiah	PN	person	6
benaiah	בְּנָיָה-8	Benaiah	descendant of Nebo; married a foreign wife; after exile	Benaiah	PN	person	6
benaiah	בְּנָיָה-9	Benaiah	father of Pelatiah; time of Ezekiel	Benaiah	PN	person	6
benaiah	בְּנָיָהוּ-1	Benaiah	son of Jehoiada; warrior; later army commander of Solomon	Benaiah	PN	person	6
benaiah	בְּנָיָהוּ-2	Benaiah	warrior; time of David	Benaiah	PN	person	6
benaiah	בְּנָיָהוּ-3	Benaiah	various men; tribe of Levi; time of David	Benaiah	PN	person	6
benaiah	בְּנָיָהוּ-4	Benaiah	father of Jehoiada, official; time of David	Benaiah	PN	person	6
benaiah	בְּנָיָהוּ-5	Benaiah	official; time of Hezekiah	Benaiah	PN	person	6
benaiah	בְּנָיָהוּ-6	Benaiah	father of Pelatiah; time of Ezekiel	Benaiah	PN	person	6
benammi	בֶּן־עַמִּי	Ben-Ammi	son of Lot; Ammon; ancestor of Ammonites	Ben-Ammi	PN	person	6
bendeker	בֶּן־דֶקֶר	Ben-Deker	official; time of king Solomon	Ben-Dekerin	PN	person	6
bendekerin	בֶּן־דֶקֶר	Ben-Deker	official; time of king Solomon	Ben-Dekerin	PN	person	10
beneberak	בְּנֵי־בְרַק	Bene-Berak	location; territory of Dan	Bene Berak	PN	locale	1
beneficial	ἔξεστι(ν)-1	be possible; be permissible	to mark an event as being possible in a highly generic sense	beneficial	AT	morals and ethics	14
benejaakan	בְּנֵי יַעֲקָן	Bene Jaakan	location along route of exodus	Bene Jaakan	PN	locale	1
bengeber	בֶּן־גֵבֶר	Ben-Geber	official; time of king Solomon	Ben-Geberin	PN	person	6
bengeberin	בֶּן־גֵבֶר	Ben-Geber	official; time of king Solomon	Ben-Geberin	PN	person	10
benhadad	בֶּן־הֲדַד	Ben-Hadad	various kings of Syria	Ben-Hadad	PN	person	6
benhail	בֶּן־חַיִל	Ben-Hail	official; time of king Jehoshaphat	Ben-Hail	PN	person	6
benhanan	בֶּן־חָנָן	Ben-Hanan	son of Shimon; tribe of Judah	Ben-Hanan	PN	person	6
benhesed	בֶּן־חֶסֶד	Ben-Hesed	official; time of king Solomon	Ben-Hesedin	PN	person	6
benhesedin	בֶּן־חֶסֶד	Ben-Hesed	official; time of king Solomon	Ben-Hesedin	PN	person	10
benhur	בֶּן־חוּר	Ben-Hur	official; time of king Solomon	Ben-Hurin	PN	person	6
benhurin	בֶּן־חוּר	Ben-Hur	official; time of king Solomon	Ben-Hurin	PN	person	10
beninu	בְּנִינוּ	Beninu	Levite; after exile	Beninu	PN	person	6
benjamin	יְמִינִי	Benjaminite	member of tribe of Benjamin	Benjamite	PN	group	5
benjamin	Βενιαμίν	Benjamin	a son of Jacob and ancestor of an Israelite tribe	Benjamin	PN	person	5
benjamin	בִּנְיָמִין-1	Benjamin	son of Jacob; founder of tribe of Benjamin	Benjamin	PN	person	6
benjamin	בִּנְיָמִין-2	Benjamin	son of Bilhan; tribe of Benjamin	Benjamin	PN	person	6
benjamin	בִּנְיָמִין-3	Benjamin	various men	Benjamin	PN	person	6
benjamin	Βενιαμιν (DC)	Benjamin	NEW		PN	person	9
benjaminite	בֶּן־יְמִינִי	Benjaminite	member of tribe of Benjamin	Benjamite	PN	group	1
benjaminite	יְמִינִי	Benjaminite	member of tribe of Benjamin	Benjamite	PN	group	1
benjamite	בֶּן־יְמִינִי	Benjaminite	member of tribe of Benjamin	Benjamite	PN	group	1
benjamite	יְמִינִי	Benjaminite	member of tribe of Benjamin	Benjamite	PN	group	1
benoni	בֶּן־אוֹנִי	Ben-Oni	son of Jacob	Ben-Oni	PN	person	6
benzoheth	בֶּן־זוֹחֵת	Ben-Zoheth	son of Ishi; tribe of Judah	Ben-Zoheth	PN	person	6
beon	בְּעֹן	Beon	town; territory of Reuben, Moab	Beon	PN	settlement	1
beonis	בְּעֹן	Beon	town; territory of Reuben, Moab	Beon	PN	settlement	5
beor	Βοσόρ	Beor; Bosor	the father of Balaam (Numbers 22.5)	Bezer	PN	person	5
beor	בְּעוֹר-1	Beor	father of Bela; Edomite	Beor	PN	person	6
beor	בְּעוֹר-2	Beor	father of Balaam	Beor	PN	person	6
bepitied	ἐλεεινός	pitiful; be pitied	pertaining to being deserving of pity in view of one's miserable condition	be pitied	AT	compassion	10
beplaced	מַקְצוּעָה	chisel; plane	metal tool with a sharp edge used to shape wood	chisels	RE	tools; crafts	15
beprofaned	חלל-1	to profane	to perfom an action that causes someone or something to become ritually unclean	profaned	AT	clean, pure, holy	11
bepunished	נקה-1	be blameless, free of punishment	be blameless, free of punishment	go unpunished	AT	guilt, responsibility; repay, reward, punish	15
beputinto	ἔξεστι(ν)-1	be possible; be permissible	to mark an event as being possible in a highly generic sense	beneficial	AT	morals and ethics	14
bera	בֶּרַע	Bera	king of Sodom	Bera	PN	person	6
beracah	בְּרָכָה-3	Beracah	valley near Tekoa where king Jehoshaphat and his people gathered to bless YHWH for their victory over a coalition of invading Moabites, Ammonites, Edomites, and Meunites	Berakah	PN	locale	1
beracah	בְּרָכָה-2	Beracah	warrior; tribe of Benjamin; time of king David	Berakah	PN	person	6
